city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CapitalEurope
Kabul,Kabul,34.5328,69.1658,Afghanistan,AF,AFG,Kābul,primary,4273156,1004993580,No
Kandahār,Kandahar,31.6078,65.7053,Afghanistan,AF,AFG,Kandahār,admin,614254,1004003059,No
Herāt,Herat,34.3738,62.1792,Afghanistan,AF,AFG,Herāt,admin,556205,1004237782,No
Mazār-e Sharīf,Mazar-e Sharif,36.7,67.1167,Afghanistan,AF,AFG,Balkh,admin,469247,1004436363,No
Jalālābād,Jalalabad,34.4303,70.4528,Afghanistan,AF,AFG,Nangarhār,admin,263312,1004315012,No
Tāluqān,Taluqan,36.7167,69.5167,Afghanistan,AF,AFG,Takhār,admin,263800,1004687194,No
Kunduz,Kunduz,36.728,68.8725,Afghanistan,AF,AFG,Kunduz,admin,259809,1004227517,No
Lashkar Gāh,Lashkar Gah,31.5938,64.3716,Afghanistan,AF,AFG,Helmand,admin,201546,1004765445,No
Maīmanah,Maimanah,35.9302,64.7701,Afghanistan,AF,AFG,Fāryāb,admin,199795,1004622920,No
Shibirghān,Shibirghan,36.665,65.752,Afghanistan,AF,AFG,Jowzjān,admin,175599,1004805783,No
Khōst,Khost,33.3333,69.9167,Afghanistan,AF,AFG,Khōst,admin,160214,1004919977,No
Ghaznī,Ghazni,33.5492,68.4233,Afghanistan,AF,AFG,Ghaznī,admin,143379,1004167490,No
Pul-e Khumrī,Pul-e Khumri,35.95,68.7,Afghanistan,AF,AFG,Baghlān,admin,113500,1004123527,No
Farāh,Farah,32.3436,62.1194,Afghanistan,AF,AFG,Farāh,admin,73647,1004523791,No
Gardēz,Gardez,33.5931,69.2297,Afghanistan,AF,AFG,Paktiyā,admin,70000,1004468894,No
Faīẕābād,Faizabad,37.1298,70.5792,Afghanistan,AF,AFG,Badakhshān,admin,64704,1004452653,No
Bāmyān,Bamyan,34.8167,67.8167,Afghanistan,AF,AFG,Bāmyān,admin,61863,1004274041,No
Chārīkār,Charikar,35.0183,69.1679,Afghanistan,AF,AFG,Parwān,admin,53676,1004817775,No
Sar-e Pul,Sar-e Pul,36.2214,65.9278,Afghanistan,AF,AFG,Sar-e Pul,admin,51075,1004047427,No
Zaranj,Zaranj,30.96,61.86,Afghanistan,AF,AFG,Nīmrōz,admin,49851,1004504986,No
Asadābād,Asadabad,34.8742,71.1528,Afghanistan,AF,AFG,Kunaṟ,admin,48400,1004251962,No
Maīdān Shahr,Maidan Shahr,34.3972,68.8697,Afghanistan,AF,AFG,Wardak,admin,35008,1004798735,No
Mehtar Lām,Mehtar Lam,34.6683,70.2089,Afghanistan,AF,AFG,Laghmān,admin,17345,1004590769,No
Fayrōz Kōh,Fayroz Koh,34.5225,65.2517,Afghanistan,AF,AFG,Ghōr,admin,15000,1004988038,No
Qalāt,Qalat,32.1061,66.9069,Afghanistan,AF,AFG,Zābul,admin,12191,1004016690,No
Tarīn Kōṯ,Tarin Kot,32.6333,65.8667,Afghanistan,AF,AFG,Uruzgān,admin,10000,1004893931,No
Maḩmūd-e Rāqī,Mahmud-e Raqi,35.0167,69.3333,Afghanistan,AF,AFG,Kāpīsā,admin,7407,1004151943,No
Qal‘ah-ye Now,Qal`ah-ye Now,34.99,63.12,Afghanistan,AF,AFG,Bādghīs,admin,5340,1004947440,No
Aībak,Aibak,36.2534,68.0394,Afghanistan,AF,AFG,Samangān,admin,4938,1004564619,No
Pul-e ‘Alam,Pul-e `Alam,33.9953,69.0227,Afghanistan,AF,AFG,Lōgar,admin,,1004180853,No
Sharan,Sharan,33.1757,68.7304,Afghanistan,AF,AFG,Paktīkā,admin,,1004273142,No
Nīlī,Nili,33.7218,66.1302,Afghanistan,AF,AFG,Dāykundī,admin,,1004642532,No
Bāzārak,Bazarak,35.3129,69.5152,Afghanistan,AF,AFG,Panjshir,admin,,1004374554,No
Pārūn,Parun,35.4206,70.9226,Afghanistan,AF,AFG,Nūristān,admin,,1004795942,No
Balkh,Balkh,36.7581,66.8989,Afghanistan,AF,AFG,Balkh,minor,77000,1004654094,No
Baghlān,Baghlan,36.1328,68.7,Afghanistan,AF,AFG,Baghlān,minor,39228,1004943705,No
Andkhōy,Andkhoy,36.95,65.1167,Afghanistan,AF,AFG,Fāryāb,minor,37887,1004472345,No
Kōṯah-ye ‘As̲h̲rō,Kotah-ye `Ashro,34.45,68.8,Afghanistan,AF,AFG,Wardak,,35008,1004450357,No
Khulm,Khulm,36.6833,67.6833,Afghanistan,AF,AFG,Balkh,minor,28078,1004486677,No
Khānābād,Khanabad,36.6831,69.1636,Afghanistan,AF,AFG,Kunduz,minor,26803,1004931539,No
Barakī Barak,Baraki Barak,33.9667,68.9667,Afghanistan,AF,AFG,Lōgar,minor,22305,1004707647,No
Qal‘ah-ye Zāl,Qal`ah-ye Zal,37.015,68.4672,Afghanistan,AF,AFG,Kunduz,,18000,1004481163,No
Karukh,Karukh,34.4868,62.5918,Afghanistan,AF,AFG,Herāt,minor,17484,1004546127,No
Zarghūn Shahr,Zarghun Shahr,32.85,68.4167,Afghanistan,AF,AFG,Paktīkā,,13737,1004965319,No
Buynī Qarah,Buyni Qarah,36.3172,66.8747,Afghanistan,AF,AFG,Balkh,,5842,1004472874,No
Tirana,Tirana,41.33,19.82,Albania,AL,ALB,Tiranë,primary,418495,1008162156,Yes
Vlorë,Vlore,40.45,19.4833,Albania,AL,ALB,Vlorë,admin,130827,1008276050,No
Kamëz,Kamez,41.3833,19.7667,Albania,AL,ALB,Tiranë,,126777,1008148968,No
Fier,Fier,40.7167,19.55,Albania,AL,ALB,Fier,admin,120655,1008293317,No
Durrës,Durres,41.3242,19.4558,Albania,AL,ALB,Durrës,admin,113249,1008173690,No
Shkodër,Shkoder,42.0667,19.5,Albania,AL,ALB,Shkodër,admin,112276,1008977725,No
Elbasan,Elbasan,41.1125,20.0822,Albania,AL,ALB,Elbasan,admin,78703,1008409270,No
Korçë,Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin,51152,1008361921,No
Berat,Berat,40.7049,19.9497,Albania,AL,ALB,Berat,admin,36496,1008955153,No
Gjirokastër,Gjirokaster,40.0758,20.1389,Albania,AL,ALB,Gjirokastër,admin,23437,1008368062,No
Lezhë,Lezhe,41.7805,19.6434,Albania,AL,ALB,Lezhë,admin,15510,1008889153,No
Kukës,Kukes,42.0758,20.4231,Albania,AL,ALB,Kukës,admin,16719,1008649172,No
Peshkopi,Peshkopi,41.6831,20.4289,Albania,AL,ALB,Dibër,admin,13251,1008412550,No
Sarandë,Sarande,39.8833,20.0167,Albania,AL,ALB,Vlorë,,41000,1008879697,No
Lushnjë,Lushnje,40.9333,19.7,Albania,AL,ALB,Fier,,31105,1008790888,No
Kavajë,Kavaje,41.1833,19.55,Albania,AL,ALB,Tiranë,,29354,1008475617,No
Pogradec,Pogradec,40.9,20.65,Albania,AL,ALB,Korçë,,20848,1008366566,No
Fushë-Krujë,Fushe-Kruje,41.4833,19.7167,Albania,AL,ALB,Durrës,,18477,1008652935,No
Laç,Lac,41.6353,19.7131,Albania,AL,ALB,Lezhë,,17086,1008762785,No
Sukth,Sukth,41.3833,19.5333,Albania,AL,ALB,Durrës,,15966,1008647190,No
Patos,Patos,40.6841,19.6194,Albania,AL,ALB,Fier,,15397,1008184635,No
Kuçovë,Kucove,40.8039,19.9144,Albania,AL,ALB,Berat,,12654,1008520632,No
Librazhd-Qendër,Librazhd-Qender,41.1969,20.3356,Albania,AL,ALB,Elbasan,,12691,1008639331,No
Krujë,Kruje,41.5178,19.7978,Albania,AL,ALB,Durrës,,11721,1008696208,No
Burrel,Burrel,41.6,20,Albania,AL,ALB,Dibër,,10862,1008883153,No
Gramsh,Gramsh,40.8667,20.1833,Albania,AL,ALB,Elbasan,,8440,1008632813,No
Shijak,Shijak,41.3456,19.5672,Albania,AL,ALB,Durrës,,7568,1008348826,No
Libonik,Libonik,40.75,20.7167,Albania,AL,ALB,Korçë,,8922,1008483668,No
Belsh,Belsh,40.9833,19.8833,Albania,AL,ALB,Elbasan,,8781,1008080226,No
Rrëshen,Rreshen,41.7667,19.8833,Albania,AL,ALB,Lezhë,,8803,1008845269,No
Ballsh,Ballsh,40.5991,19.7359,Albania,AL,ALB,Fier,,7657,1008709957,No
Mamurras,Mamurras,41.5775,19.6922,Albania,AL,ALB,Lezhë,,8282,1008549519,No
Divjakë,Divjake,40.9964,19.5327,Albania,AL,ALB,Fier,,8445,1008489904,No
Bulqizë,Bulqize,41.5,20.2167,Albania,AL,ALB,Dibër,,8177,1008809272,No
Shëngjin,Shengjin,41.8136,19.5939,Albania,AL,ALB,Lezhë,,8091,1008373202,No
Vau i Dejës,Vau i Dejes,42,19.6333,Albania,AL,ALB,Shkodër,,8117,1008394491,No
Rrogozhinë,Rrogozhine,41.0761,19.6667,Albania,AL,ALB,Tiranë,,7049,1008422115,No
Librazhd,Librazhd,41.1833,20.3167,Albania,AL,ALB,Elbasan,,6937,1008800835,No
Bilisht,Bilisht,40.6275,20.99,Albania,AL,ALB,Korçë,,7114,1008832248,No
Peqin,Peqin,41.05,19.75,Albania,AL,ALB,Elbasan,,6353,1008394656,No
Cërrik,Cerrik,41.0333,19.9833,Albania,AL,ALB,Elbasan,,6695,1008302673,No
Roskovec,Roskovec,40.7375,19.7022,Albania,AL,ALB,Fier,,6657,1008765146,No
Përmet,Permet,40.2333,20.35,Albania,AL,ALB,Gjirokastër,,5945,1008604833,No
Prrenjas,Prrenjas,41.0667,20.55,Albania,AL,ALB,Elbasan,,5847,1008654405,No
Krumë,Krume,42.1961,20.4146,Albania,AL,ALB,Kukës,,6006,1008823158,No
Delvinë,Delvine,39.9494,20.0958,Albania,AL,ALB,Vlorë,,5754,1008273800,No
Bajram Curri,Bajram Curri,42.3582,20.076,Albania,AL,ALB,Kukës,,5340,1008251523,No
Tepelenë,Tepelene,40.3,20.0167,Albania,AL,ALB,Gjirokastër,,4342,1008683571,No
Ersekë,Erseke,40.3333,20.6833,Albania,AL,ALB,Korçë,,3746,1008049831,No
Çorovodë,Corovode,40.5042,20.2272,Albania,AL,ALB,Berat,,4051,1008566247,No
Pukë,Puke,42.05,19.9,Albania,AL,ALB,Shkodër,,3607,1008739218,No
Algiers,Algiers,36.7764,3.0586,Algeria,DZ,DZA,Alger,primary,3415811,1012973369,No
Oran,Oran,35.6969,-0.6331,Algeria,DZ,DZA,Oran,admin,852000,1012126319,No
Constantine,Constantine,36.365,6.6147,Algeria,DZ,DZA,Constantine,admin,448374,1012275076,No
Blida,Blida,36.4722,2.8333,Algeria,DZ,DZA,Blida,admin,331779,1012045589,No
Batna,Batna,35.55,6.1667,Algeria,DZ,DZA,Batna,admin,290645,1012093229,No
Sétif,Setif,36.19,5.41,Algeria,DZ,DZA,Sétif,admin,288461,1012981116,No
Djelfa,Djelfa,34.6667,3.25,Algeria,DZ,DZA,Djelfa,admin,265833,1012268984,No
Annaba,Annaba,36.9,7.7667,Algeria,DZ,DZA,Annaba,admin,257359,1012600001,No
Sidi Bel Abbès,Sidi Bel Abbes,35.2,-0.6333,Algeria,DZ,DZA,Sidi Bel Abbès,admin,212935,1012123414,No
Biskra,Biskra,34.85,5.7333,Algeria,DZ,DZA,Biskra,admin,204661,1012947247,No
Tébessa,Tebessa,35.4,8.1167,Algeria,DZ,DZA,Tébessa,admin,194461,1012196375,No
Tiaret,Tiaret,35.3667,1.3167,Algeria,DZ,DZA,Tiaret,admin,178915,1012785868,No
Bejaïa,Bejaia,36.7511,5.0642,Algeria,DZ,DZA,Bejaïa,admin,176139,1012140298,No
Tlemcen,Tlemcen,34.8828,-1.3167,Algeria,DZ,DZA,Tlemcen,admin,173531,1012978325,No
Bordj Bou Arreridj,Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,DZA,Bordj Bou Arréridj,admin,168346,1012016677,No
Skikda,Skikda,36.8667,6.9,Algeria,DZ,DZA,Skikda,admin,163318,1012619903,No
Béchar,Bechar,31.6333,-2.2,Algeria,DZ,DZA,Béchar,admin,165627,1012371820,No
El Eulma,El Eulma,36.1528,5.69,Algeria,DZ,DZA,Sétif,,155038,1012292620,No
Chlef,Chlef,36.1647,1.3317,Algeria,DZ,DZA,Chlef,admin,155134,1012772239,No
Souk Ahras,Souk Ahras,36.2864,7.9511,Algeria,DZ,DZA,Souk Ahras,admin,155259,1012419619,No
M’Sila,M'Sila,35.7058,4.5419,Algeria,DZ,DZA,M’sila,admin,150000,1012857730,No
Mostaganem,Mostaganem,35.9333,0.0903,Algeria,DZ,DZA,Mostaganem,admin,145696,1012061703,No
Médéa,Medea,36.2675,2.75,Algeria,DZ,DZA,Médéa,admin,138355,1012758282,No
Tizi Ouzou,Tizi Ouzou,36.7169,4.0497,Algeria,DZ,DZA,Tizi Ouzou,admin,135088,1012126997,No
El Oued,El Oued,33.3683,6.8675,Algeria,DZ,DZA,El Oued,admin,134699,1012148937,No
Laghouat,Laghouat,33.8,2.865,Algeria,DZ,DZA,Laghouat,admin,134372,1012233848,No
Jijel,Jijel,36.8206,5.7667,Algeria,DZ,DZA,Jijel,admin,131513,1012782547,No
Ouargla,Ouargla,31.95,5.3167,Algeria,DZ,DZA,Ouargla,admin,133024,1012425687,No
Relizane,Relizane,35.7372,0.5558,Algeria,DZ,DZA,Relizane,admin,130094,1012939885,No
Saïda,Saida,34.8303,0.1517,Algeria,DZ,DZA,Saïda,admin,128413,1012285874,No
Guelma,Guelma,36.4619,7.4258,Algeria,DZ,DZA,Guelma,admin,120004,1012266321,No
Ghardaïa,Ghardaia,32.4833,3.6667,Algeria,DZ,DZA,Ghardaïa,admin,120000,1012074690,No
Aïn Beïda,Ain Beida,35.7964,7.3928,Algeria,DZ,DZA,Oum el Bouaghi,,116064,1012021090,No
Khenchela,Khenchela,35.4167,7.1333,Algeria,DZ,DZA,Khenchela,admin,108580,1012495148,No
Bou Saâda,Bou Saada,35.2083,4.1739,Algeria,DZ,DZA,M’sila,,111787,1012931222,No
Mascara,Mascara,35.4,0.1333,Algeria,DZ,DZA,Mascara,admin,108587,1012738269,No
Messaad,Messaad,34.1542,3.4969,Algeria,DZ,DZA,Djelfa,,102453,1012278908,No
Aïn Oussera,Ain Oussera,35.4489,2.9044,Algeria,DZ,DZA,Djelfa,,101239,1012469007,No
Oum el Bouaghi,Oum el Bouaghi,35.8706,7.115,Algeria,DZ,DZA,Oum el Bouaghi,admin,100821,1012958880,No
El Bayadh,El Bayadh,33.6831,1.0192,Algeria,DZ,DZA,El Bayadh,admin,85577,1012906892,No
Tamanrasset,Tamanrasset,22.785,5.5228,Algeria,DZ,DZA,Tamanrasset,admin,76000,1012765474,No
Tissemsilt,Tissemsilt,35.6072,1.8106,Algeria,DZ,DZA,Tissemsilt,admin,75197,1012743339,No
Bouira,Bouira,36.3783,3.8925,Algeria,DZ,DZA,Bouira,admin,68545,1012006499,No
Adrar,Adrar,27.8742,-0.2939,Algeria,DZ,DZA,Adrar,admin,68276,1012462113,No
Tindouf,Tindouf,27.6753,-8.1286,Algeria,DZ,DZA,Tindouf,admin,45610,1012450434,No
Boumerdes,Boumerdes,36.7594,3.4728,Algeria,DZ,DZA,Boumerdes,admin,41685,1012627486,No
El Golea,El Golea,30.6,2.9,Algeria,DZ,DZA,Ghardaïa,admin,40195,1012834851,No
Touggourt,Touggourt,33.1,6.0667,Algeria,DZ,DZA,Ouargla,admin,39409,1012546670,No
Timimoun,Timimoun,29.25,0.2333,Algeria,DZ,DZA,Adrar,admin,33060,1012351010,No
I-n-Salah,I-n-Salah,27.1936,2.4606,Algeria,DZ,DZA,Tamanrasset,admin,32518,1012201146,No
El Tarf,El Tarf,36.7669,8.3136,Algeria,DZ,DZA,El Tarf,admin,25594,1012205687,No
Tipasa,Tipasa,36.5942,2.443,Algeria,DZ,DZA,Tipaza,admin,25225,1012866308,No
Illizi,Illizi,26.508,8.4829,Algeria,DZ,DZA,Illizi,admin,17252,1012499058,No
Bordj Mokhtar,Bordj Mokhtar,21.3289,0.9542,Algeria,DZ,DZA,Adrar,admin,16437,1012945794,No
Naama,Naama,33.2678,-0.3111,Algeria,DZ,DZA,Naama,admin,16251,1012850542,No
Djanet,Djanet,24.555,9.4853,Algeria,DZ,DZA,Illizi,admin,14655,1012827195,No
Beni Abbès,Beni Abbes,30.08,-2.1,Algeria,DZ,DZA,Béchar,admin,10885,1012633792,No
In Guezzam,In Guezzam,19.5686,5.7722,Algeria,DZ,DZA,Tamanrasset,admin,7045,1012000031,No
Aïn Temouchent,Ain Temouchent,35.3044,-1.14,Algeria,DZ,DZA,Aïn Temouchent,admin,,1012763655,No
Aïn Defla,Ain Defla,36.2583,1.9583,Algeria,DZ,DZA,Aïn Defla,admin,,1012656497,No
Mila,Mila,36.4481,6.2622,Algeria,DZ,DZA,Mila,admin,,1012656063,No
Ouled Djellal,Ouled Djellal,34.4167,5.0667,Algeria,DZ,DZA,Biskra,admin,,1012109892,No
El Meghaïer,El Meghaier,33.9506,5.9242,Algeria,DZ,DZA,El Oued,admin,,1012153214,No
Es Senia,Es Senia,35.6478,-0.6239,Algeria,DZ,DZA,Oran,,96928,1012779789,No
El Milia,El Milia,36.75,6.2667,Algeria,DZ,DZA,Jijel,,83931,1012706826,No
Bordj Menaïel,Bordj Menaiel,36.7417,3.7231,Algeria,DZ,DZA,Boumerdes,,64820,1012287430,No
Mecheria,Mecheria,33.55,-0.2833,Algeria,DZ,DZA,Naama,,65043,1012958256,No
Aïn Sefra,Ain Sefra,32.75,-0.5833,Algeria,DZ,DZA,Naama,,63420,1012884513,No
Lakhdaria,Lakhdaria,36.6167,3.5833,Algeria,DZ,DZA,Bouira,,59746,1012284313,No
Boufarik,Boufarik,36.575,2.9097,Algeria,DZ,DZA,Blida,,57162,1012512259,No
Azzaba,Azzaba,36.7333,7.1,Algeria,DZ,DZA,Skikda,,56922,1012969588,No
Akbou,Akbou,36.4667,4.5333,Algeria,DZ,DZA,Bejaïa,,52282,1012950888,No
’Aïn Azel,'Ain Azel,35.8433,5.5219,Algeria,DZ,DZA,Sétif,,48487,1012746080,No
Ouled Moussa,Ouled Moussa,36.6831,3.3681,Algeria,DZ,DZA,Boumerdes,,45770,1012623458,No
Hassi Messaoud,Hassi Messaoud,31.7,6.0667,Algeria,DZ,DZA,Ouargla,,45147,1012339655,No
’Aïn Arnat,'Ain Arnat,36.1833,5.3167,Algeria,DZ,DZA,Sétif,,43551,1012453452,No
Draa el Mizan,Draa el Mizan,36.5333,3.8333,Algeria,DZ,DZA,Bouira,,38886,1012563094,No
Souma,Souma,36.5183,2.9053,Algeria,DZ,DZA,Blida,,37461,1012378735,No
Azazga,Azazga,36.7453,4.3711,Algeria,DZ,DZA,Tizi Ouzou,,34683,1012087552,No
Didouche Mourad,Didouche Mourad,36.4484,6.6339,Algeria,DZ,DZA,Constantine,,33266,1012151355,No
Dellys,Dellys,36.9167,3.8833,Algeria,DZ,DZA,Boumerdes,,32954,1012717910,No
Draa Ben Khedda,Draa Ben Khedda,36.7349,3.9556,Algeria,DZ,DZA,Boumerdes,,31382,1012011041,No
Boghni,Boghni,36.5437,3.9523,Algeria,DZ,DZA,Tizi Ouzou,,31263,1012740129,No
Tizi Gheniff,Tizi Gheniff,36.5891,3.7678,Algeria,DZ,DZA,Boumerdes,,29409,1012794312,No
L’Arbaa Naït Irathen,L'Arbaa Nait Irathen,36.6367,4.2067,Algeria,DZ,DZA,Tizi Ouzou,,29376,1012117061,No
Timizart,Timizart,36.8,4.2667,Algeria,DZ,DZA,Tizi Ouzou,,28996,1012767619,No
Freha,Freha,36.762,4.3163,Algeria,DZ,DZA,Tizi Ouzou,,24228,1012372550,No
Mekla,Mekla,36.6876,4.2681,Algeria,DZ,DZA,Tizi Ouzou,,24237,1012384530,No
Beni Amrane,Beni Amrane,36.6686,3.5922,Algeria,DZ,DZA,Boumerdes,,23621,1012420167,No
Makouda,Makouda,36.7909,4.0669,Algeria,DZ,DZA,Boumerdes,,23388,1012786926,No
Tadmaït,Tadmait,36.7427,3.9019,Algeria,DZ,DZA,Boumerdes,,22838,1012245949,No
Amoucha,Amoucha,36.388,5.4108,Algeria,DZ,DZA,Sétif,,22767,1012766595,No
Naciria,Naciria,36.75,3.8333,Algeria,DZ,DZA,Boumerdes,,22431,1012065880,No
Kadiria,Kadiria,36.5333,3.6833,Algeria,DZ,DZA,Bouira,,22327,1012278992,No
Djinet,Djinet,36.877,3.7231,Algeria,DZ,DZA,Boumerdes,,21966,1012989318,No
Beni Douala,Beni Douala,36.6167,4.0667,Algeria,DZ,DZA,Tizi Ouzou,,21551,1012742443,No
Thenia,Thenia,36.7278,3.5539,Algeria,DZ,DZA,Boumerdes,,21439,1012908635,No
Tizi-n-Bechar,Tizi-n-Bechar,36.4311,5.36,Algeria,DZ,DZA,Bejaïa,,21086,1012925118,No
’Aïn el Hammam,'Ain el Hammam,36.5714,4.3097,Algeria,DZ,DZA,Tizi Ouzou,,20401,1012595495,No
Aomar,Aomar,36.5,3.7833,Algeria,DZ,DZA,Bouira,,20532,1012376964,No
Tala Yfassene,Tala Yfassene,36.4583,5.0889,Algeria,DZ,DZA,Sétif,,20337,1012098651,No
Reggane,Reggane,26.7,0.1667,Algeria,DZ,DZA,Adrar,,20402,1012709576,No
Arbaoun,Arbaoun,36.4667,5.65,Algeria,DZ,DZA,Sétif,,19383,1012971347,No
Tirmitine,Tirmitine,36.6618,3.9848,Algeria,DZ,DZA,Tizi Ouzou,,19027,1012932001,No
Timoktene,Timoktene,27.0217,1.015,Algeria,DZ,DZA,Adrar,,18598,1012254407,No
Beni Fouda,Beni Fouda,36.2861,5.6071,Algeria,DZ,DZA,Sétif,,17667,1012660842,No
Tizi Rached,Tizi Rached,36.6718,4.1918,Algeria,DZ,DZA,Tizi Ouzou,,17161,1012966884,No
Aïn Zaouïa,Ain Zaouia,36.5483,3.8942,Algeria,DZ,DZA,Tizi Ouzou,,17320,1012695288,No
Sidi Daoud,Sidi Daoud,36.85,3.85,Algeria,DZ,DZA,Boumerdes,,16900,1012618002,No
Azeffoun,Azeffoun,36.8961,4.4204,Algeria,DZ,DZA,Tizi Ouzou,,16847,1012290725,No
Tichi,Tichi,36.6675,5.1601,Algeria,DZ,DZA,Bejaïa,,16546,1012798792,No
’Aïn Abessa,'Ain Abessa,36.3,5.295,Algeria,DZ,DZA,Sétif,,16770,1012074116,No
Chorfa,Chorfa,36.3617,4.3307,Algeria,DZ,DZA,Bouira,,16173,1012035343,No
Ouadhia,Ouadhia,36.55,4.0833,Algeria,DZ,DZA,Tizi Ouzou,,15771,1012312650,No
Boudjima,Boudjima,36.814,4.1588,Algeria,DZ,DZA,Tizi Ouzou,,15628,1012379618,No
Tizi-n-Tleta,Tizi-n-Tleta,36.5457,4.0571,Algeria,DZ,DZA,Tizi Ouzou,,15479,1012925920,No
Aït Yaïch,Ait Yaich,36.5811,4.3303,Algeria,DZ,DZA,Tizi Ouzou,,14439,1012677951,No
Iflissen,Iflissen,36.8636,4.2203,Algeria,DZ,DZA,Tizi Ouzou,,14311,1012326451,No
Abadla,Abadla,31.0167,-2.7333,Algeria,DZ,DZA,Béchar,,14364,1012262770,No
Takerbouzt,Takerbouzt,36.418,4.3428,Algeria,DZ,DZA,Bouira,,14000,1012858445,No
Moudjbara,Moudjbara,34.5037,3.4704,Algeria,DZ,DZA,Djelfa,,14052,1012667528,No
Afir,Afir,36.7676,3.7029,Algeria,DZ,DZA,Boumerdes,,13223,1012675026,No
Mechtras,Mechtras,36.5448,4.0049,Algeria,DZ,DZA,Tizi Ouzou,,12683,1012201497,No
Sali,Sali,26.9833,-0.0333,Algeria,DZ,DZA,Adrar,,13138,1012996789,No
Arhribs,Arhribs,36.8022,4.3227,Algeria,DZ,DZA,Tizi Ouzou,,12474,1012696122,No
Si Mustapha,Si Mustapha,36.7247,3.6153,Algeria,DZ,DZA,Boumerdes,,12087,1012130143,No
Iferhounene,Iferhounene,36.5338,4.3701,Algeria,DZ,DZA,Tizi Ouzou,,12460,1012745524,No
El Adjiba,El Adjiba,36.3333,4.15,Algeria,DZ,DZA,Bouira,,12486,1012383350,No
Yakouren,Yakouren,36.7348,4.4386,Algeria,DZ,DZA,Tizi Ouzou,,12203,1012612535,No
Tigzirt,Tigzirt,36.8931,4.1225,Algeria,DZ,DZA,Tizi Ouzou,,11962,1012150824,No
Bechloul,Bechloul,36.3167,4.0667,Algeria,DZ,DZA,Bouira,,11775,1012563877,No
’Aïn Roua,'Ain Roua,36.3344,5.1806,Algeria,DZ,DZA,Sétif,,11499,1012529757,No
Charouine,Charouine,29.0167,-0.2667,Algeria,DZ,DZA,Adrar,,11347,1012755999,No
Bir Ghbalou,Bir Ghbalou,36.2631,3.5866,Algeria,DZ,DZA,Médéa,,11016,1012249358,No
Sidi Namane,Sidi Namane,36.7581,3.9839,Algeria,DZ,DZA,Boumerdes,,10688,1012820383,No
Ben N’Choud,Ben N'Choud,36.8624,3.8806,Algeria,DZ,DZA,Boumerdes,,9985,1012044380,No
Bordj Okhriss,Bordj Okhriss,36.0833,3.9667,Algeria,DZ,DZA,Bouira,,10467,1012057188,No
Ben Nasseur,Ben Nasseur,33.1107,6.441,Algeria,DZ,DZA,Ouargla,,10330,1012048018,No
Souama,Souama,36.6417,4.3416,Algeria,DZ,DZA,Tizi Ouzou,,9954,1012240654,No
Bou Nouh,Bou Nouh,36.5,3.9333,Algeria,DZ,DZA,Tizi Ouzou,,9731,1012718665,No
Toudja,Toudja,36.7586,4.8933,Algeria,DZ,DZA,Bejaïa,,9827,1012114797,No
Ifigha,Ifigha,36.6667,4.4167,Algeria,DZ,DZA,Tizi Ouzou,,9160,1012938624,No
Ouled Rached,Ouled Rached,36.2119,4.1106,Algeria,DZ,DZA,Bouira,,9311,1012727170,No
Seddouk Oufella,Seddouk Oufella,36.6061,4.6389,Algeria,DZ,DZA,Bejaïa,,8931,1012348181,No
I-n-Amenas,I-n-Amenas,28.05,9.55,Algeria,DZ,DZA,Illizi,,9225,1012221429,No
Abalessa,Abalessa,22.89,4.8472,Algeria,DZ,DZA,Tamanrasset,,9163,1012479386,No
Boukhralfa,Boukhralfa,36.6144,5.0872,Algeria,DZ,DZA,Bejaïa,,8766,1012066745,No
Tifra,Tifra,36.6664,4.6972,Algeria,DZ,DZA,Bejaïa,,8547,1012591585,No
Amalou,Amalou,36.4778,4.6333,Algeria,DZ,DZA,Bejaïa,,8602,1012045463,No
Taourga,Taourga,36.7938,3.9463,Algeria,DZ,DZA,Boumerdes,,7882,1012841664,No
Beni Aïssi,Beni Aissi,29.6,0.25,Algeria,DZ,DZA,Adrar,,7628,1012574444,No
Souk el Had,Souk el Had,36.6909,3.5889,Algeria,DZ,DZA,Boumerdes,,6693,1012532288,No
Aït Bou Madhi,Ait Bou Madhi,36.5009,4.2,Algeria,DZ,DZA,Tizi Ouzou,,6113,1012471822,No
El Maïn,El Main,36.3667,4.75,Algeria,DZ,DZA,Bejaïa,,6238,1012706441,No
Beni Ounif,Beni Ounif,32.05,-1.25,Algeria,DZ,DZA,Béchar,,5628,1012327989,No
Tassamert,Tassamert,36.2693,4.823,Algeria,DZ,DZA,Bordj Bou Arréridj,,5269,1012240413,No
I-n-Amguel,I-n-Amguel,23.6936,5.1647,Algeria,DZ,DZA,Tamanrasset,,3030,1012162135,No
Pago Pago,Pago Pago,-14.274,-170.7046,American Samoa,AS,ASM,,primary,12576,1016976740,No
Andorra la Vella,Andorra la Vella,42.5,1.5,Andorra,AD,AND,Andorra la Vella,primary,22615,1020828846,Yes
Escaldes-Engordany,Escaldes-Engordany,42.5089,1.5408,Andorra,AD,AND,Escaldes-Engordany,admin,14521,1020008674,No
Encamp,Encamp,42.5361,1.5828,Andorra,AD,AND,Encamp,admin,12338,1020417470,No
